40	39	1	5.0	H	H

11	110	2	5.0	H	HB
11	14	2	5.0	H	HB
123	110	2	5.0	H	HB
123	14	2	5.0	H	HB

25	24	3	5.0	H	H

148	112	4	6.0	H	H


17	18	6	5.0	H	H

89	225	7	2.3	H	H
89	104	7	2.3	H	H
89	144	7	2.3	H	H
89	52	7	2.3	H	H
89	107	7	2.3	H	H
89	162	7	2.3	H	H
224	225	7	2.3	H	H
224	104	7	2.3	H	H
224	144	7	2.3	H	H
224	52	7	2.3	H	H
224	107	7	2.3	H	H
224	162	7	2.3	H	H

95	94	8	6.0	H	H

113	133	9	5.0	H	H
113	196	9	5.0	H	H
113	115	9	5.0	H	H
113	226	9	5.0	H	H
113	85	9	5.0	H	H
113	165	9	5.0	H	H
113	126	9	5.0	H	H

39	36	10	6.0	H	H

191	174	11	6.0	H	H


26	90	13	5.0	H	HB
26	220	13	5.0	H	HB
26	24	13	5.0	H	HB

28	27	14	5.0	H	H

15	48	15	5.0	H	HD1
15	99	15	5.0	H	HD2
15	249	15	5.0	H	QD
15	41	15	5.0	H	HD1
15	3	15	5.0	H	HG2
15	63	15	5.0	H	HD2
15	64	15	5.0	H	HD1
15	112	15	5.0	H	HD1
15	79	15	5.0	H	HD1

25	24	16	5.0	H	HB

228	109	17	5.0	H	H
228	171	17	5.0	H	H
228	105	17	5.0	H	H
228	22	17	5.0	H	H
228	201	17	5.0	H	H
228	3	17	5.0	H	H
228	212	17	5.0	H	H

188	177	18	5.0	H	H
188	206	18	5.0	H	H
188	109	18	5.0	H	H
188	171	18	5.0	H	H
188	105	18	5.0	H	H
188	22	18	5.0	H	H
188	201	18	5.0	H	H
188	3	18	5.0	H	H

22	122	19	5.0	H	HB
22	90	19	5.0	H	HB
22	220	19	5.0	H	HB
22	24	19	5.0	H	HB


53	26	21	5.0	H	HD22
53	139	21	5.0	H	HD22
53	83	21	5.0	H	HE22
53	213	21	5.0	H	HD22
53	127	21	5.0	H	HD22
53	107	21	5.0	H	HD22
53	185	21	5.0	H	HD22
53	78	21	5.0	H	HD22

16	13	22	6.0	H	H

66	65	23	6.0	H	H


33	4	25	2.3	H	H
33	119	25	2.3	H	H
33	61	25	2.3	H	H
33	77	25	2.3	H	H
40	4	25	2.3	H	H
40	119	25	2.3	H	H
40	61	25	2.3	H	H
40	77	25	2.3	H	H

112	110	26	5.0	H	HB

211	130	27	5.0	H	H
211	78	27	5.0	H	H
211	111	27	5.0	H	H
31	130	27	5.0	H	H
31	78	27	5.0	H	H
31	111	27	5.0	H	H

172	139	28	5.0	H	H
172	76	28	5.0	H	H
172	37	28	5.0	H	H
172	218	28	5.0	H	H
172	38	28	5.0	H	H
172	114	28	5.0	H	H
172	249	28	5.0	H	H
172	187	28	5.0	H	H
172	180	28	5.0	H	H
172	112	28	5.0	H	H
172	9	28	5.0	H	H
172	195	28	5.0	H	H
172	67	28	5.0	H	H
172	188	28	5.0	H	H

81	75	29	5.0	H	H
81	160	29	5.0	H	H
81	188	29	5.0	H	HD21
81	101	29	5.0	H	HD21
81	19	29	5.0	H	HD21
81	41	29	5.0	H	H
81	83	29	5.0	H	HE21
81	193	29	5.0	H	H


69	70	31	2.3	H	H
69	20	31	2.3	H	H
69	73	31	2.3	H	H
69	140	31	2.3	H	H
69	59	31	2.3	H	H

193	192	32	4.6	H	H

135	232	33	5.0	H	HG1
135	23	33	5.0	H	HD2
135	124	33	5.0	H	HD2
135	48	33	5.0	H	HD1
135	99	33	5.0	H	HD2
135	249	33	5.0	H	QD
135	41	33	5.0	H	HD1
135	3	33	5.0	H	HG2
